StartTime: 2022-12-27 14:55:44.070 cake 12/27
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 14:55:44.070	0.2876	-0.0435	0.9692	0.0000	0.0000	0.0000	-2.5763	-16.5729	-58.6835	27.38	3.60
0x50	 14:55:44.070	0.2881	-0.0435	0.9673	0.0000	0.0000	0.0000	-2.5763	-16.5729	-58.6835	27.42	3.60
0x50	 14:55:44.070	0.2881	-0.0435	0.9673	0.0000	0.0000	0.0000	-2.5763	-16.5729	-58.6835	27.42	3.60
0x50	 14:55:44.070	0.2876	-0.0430	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.39	3.60
0x50	 14:55:44.070	0.2876	-0.0430	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.39	3.60
0x50	 14:55:44.070	0.2876	-0.0435	0.9673	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.36	3.60
0x50	 14:55:44.070	0.2876	-0.0435	0.9673	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.36	3.60
0x50	 14:55:44.070	0.2910	-0.0449	0.9673	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.41	3.60
0x50	 14:55:44.161	0.2910	-0.0449	0.9673	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.41	3.60
0x50	 14:55:44.162	0.2891	-0.0449	0.9678	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.162	0.2891	-0.0449	0.9678	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.162	0.2866	-0.0420	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.45	3.60
0x50	 14:55:44.162	0.2866	-0.0420	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.45	3.60
0x50	 14:55:44.162	0.2876	-0.0425	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.35	3.60
0x50	 14:55:44.162	0.2876	-0.0425	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.35	3.60
0x50	 14:55:44.162	0.2886	-0.0449	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.162	0.2886	-0.0449	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.289	0.2896	-0.0444	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.290	0.2896	-0.0444	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.290	0.2881	-0.0435	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.37	3.60
0x50	 14:55:44.290	0.2881	-0.0435	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.37	3.60
0x50	 14:55:44.290	0.2881	-0.0439	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.290	0.2881	-0.0439	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.290	0.2881	-0.0444	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.37	3.60
0x50	 14:55:44.290	0.2881	-0.0444	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.37	3.60
0x50	 14:55:44.290	0.2876	-0.0439	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.39	3.60
0x50	 14:55:44.348	0.2876	-0.0439	0.9688	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.39	3.60
0x50	 14:55:44.348	0.2886	-0.0435	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.44	3.60
0x50	 14:55:44.348	0.2886	-0.0435	0.9683	0.0000	0.0000	0.0000	-2.5763	-16.5674	-58.6835	27.44	3.60
0x50	 14:55:44.348	0.2881	-0.0444	0.9692	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.42	3.60
0x50	 14:55:44.348	0.2881	-0.0444	0.9692	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.42	3.60
0x50	 14:55:44.348	0.2886	-0.0435	0.9683	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.348	0.2886	-0.0435	0.9683	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.348	0.2881	-0.0435	0.9678	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.348	0.2881	-0.0435	0.9678	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.449	0.2881	-0.0439	0.9692	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.37	3.60
0x50	 14:55:44.449	0.2881	-0.0439	0.9692	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.37	3.60
0x50	 14:55:44.449	0.2896	-0.0464	0.9692	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.38	3.60
0x50	 14:55:44.449	0.2896	-0.0464	0.9692	0.0000	0.0000	0.0000	-2.5818	-16.5674	-58.6835	27.38	3.60
