StartTime: 2022-12-24 14:21:10.759 pasta1
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 14:21:10.759	-0.0220	0.0200	1.0059	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.54	3.64
0x50	 14:21:10.759	-0.0195	0.0225	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.759	-0.0195	0.0225	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.759	-0.0205	0.0225	1.0059	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.759	-0.0205	0.0225	1.0059	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.759	-0.0220	0.0210	1.0063	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.49	3.64
0x50	 14:21:10.759	-0.0220	0.0210	1.0063	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.49	3.64
0x50	 14:21:10.759	-0.0234	0.0200	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.49	3.64
0x50	 14:21:10.759	-0.0234	0.0200	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.49	3.64
0x50	 14:21:10.789	-0.0215	0.0205	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.51	3.64
0x50	 14:21:10.789	-0.0215	0.0205	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.51	3.64
0x50	 14:21:10.789	-0.0205	0.0210	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.48	3.64
0x50	 14:21:10.789	-0.0205	0.0210	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.48	3.64
0x50	 14:21:10.789	-0.0215	0.0220	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.51	3.64
0x50	 14:21:10.790	-0.0215	0.0220	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.51	3.64
0x50	 14:21:10.790	-0.0225	0.0200	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:10.892	-0.0225	0.0200	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:10.893	-0.0229	0.0200	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.49	3.64
0x50	 14:21:10.893	-0.0229	0.0200	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.49	3.64
0x50	 14:21:10.893	-0.0220	0.0215	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.893	-0.0220	0.0215	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.894	-0.0186	0.0215	1.0054	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.47	3.64
0x50	 14:21:10.894	-0.0186	0.0215	1.0054	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.47	3.64
0x50	 14:21:10.894	-0.0215	0.0205	1.0078	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.894	-0.0215	0.0205	1.0078	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:10.894	-0.0229	0.0200	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:11.006	-0.0229	0.0200	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:11.006	-0.0225	0.0205	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:11.006	-0.0225	0.0205	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:11.006	-0.0225	0.0205	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:11.006	-0.0195	0.0220	1.0063	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:11.006	-0.0195	0.0220	1.0063	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:11.006	-0.0205	0.0215	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:11.006	-0.0205	0.0215	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.52	3.64
0x50	 14:21:11.006	-0.0220	0.0205	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:11.074	-0.0220	0.0205	1.0073	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:11.074	-0.0229	0.0205	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.51	3.64
0x50	 14:21:11.074	-0.0229	0.0205	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.51	3.64
0x50	 14:21:11.074	-0.0205	0.0215	1.0063	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:11.075	-0.0205	0.0215	1.0063	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.50	3.64
0x50	 14:21:11.075	-0.0200	0.0215	1.0068	0.0000	0.0000	0.0000	1.2030	1.2360	99.7778	23.51	3.64
0x50	 14:21:11.075	-0.0200	0.0215	1.0068	0.0000	0.0000	0.0000	1.2030	1.2305	99.7778	23.51	3.64
0x50	 14:21:11.075	-0.0215	0.0215	1.0078	0.0000	0.0000	0.0000	1.2030	1.2305	99.7778	23.49	3.64
0x50	 14:21:11.075	-0.0215	0.0215	1.0078	0.0000	0.0000	0.0000	1.2030	1.2305	99.7778	23.49	3.64
0x50	 14:21:11.186	-0.0229	0.0205	1.0073	0.0000	0.0000	0.0000	1.2030	1.2305	99.7778	23.51	3.64
