StartTime: 2022-12-27 14:39:57.687 pasta 12/27
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 14:39:57.687	-0.0640	-0.8228	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.60
0x50	 14:39:57.687	-0.0640	-0.8228	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.60
0x50	 14:39:57.687	-0.0640	-0.8242	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.60
0x50	 14:39:57.687	-0.0640	-0.8242	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.60
0x50	 14:39:57.687	-0.0635	-0.8247	0.5762	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.60
0x50	 14:39:57.687	-0.0635	-0.8247	0.5762	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.687	-0.0649	-0.8247	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.05	3.61
0x50	 14:39:57.687	-0.0649	-0.8247	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.05	3.61
0x50	 14:39:57.687	-0.0645	-0.8237	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.04	3.61
0x50	 14:39:57.787	-0.0645	-0.8237	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.04	3.61
0x50	 14:39:57.787	-0.0645	-0.8242	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.03	3.61
0x50	 14:39:57.787	-0.0645	-0.8242	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.03	3.61
0x50	 14:39:57.787	-0.0645	-0.8247	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.787	-0.0645	-0.8247	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.787	-0.0630	-0.8228	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.787	-0.0630	-0.8228	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.787	-0.0640	-0.8232	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.06	3.60
0x50	 14:39:57.787	-0.0640	-0.8232	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.06	3.60
0x50	 14:39:57.916	-0.0649	-0.8252	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.05	3.60
0x50	 14:39:57.917	-0.0649	-0.8252	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.05	3.60
0x50	 14:39:57.917	-0.0635	-0.8257	0.5767	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.917	-0.0635	-0.8257	0.5767	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.917	-0.0640	-0.8242	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.917	-0.0640	-0.8242	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.917	-0.0635	-0.8237	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.917	-0.0635	-0.8237	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.61
0x50	 14:39:57.917	-0.0640	-0.8242	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.00	3.60
0x50	 14:39:57.951	-0.0640	-0.8242	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.00	3.60
0x50	 14:39:57.951	-0.0649	-0.8242	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.04	3.60
0x50	 14:39:57.951	-0.0649	-0.8242	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.04	3.60
0x50	 14:39:57.951	-0.0645	-0.8242	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.06	3.60
0x50	 14:39:57.951	-0.0645	-0.8242	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.06	3.60
0x50	 14:39:57.951	-0.0645	-0.8228	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.06	3.60
0x50	 14:39:57.951	-0.0645	-0.8228	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.06	3.60
0x50	 14:39:57.951	-0.0645	-0.8228	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.09	3.60
0x50	 14:39:58.064	-0.0645	-0.8228	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.09	3.60
0x50	 14:39:58.064	-0.0635	-0.8242	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.03	3.60
0x50	 14:39:58.064	-0.0635	-0.8242	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.03	3.60
0x50	 14:39:58.064	-0.0654	-0.8237	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.09	3.60
0x50	 14:39:58.064	-0.0654	-0.8237	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.09	3.60
0x50	 14:39:58.065	-0.0645	-0.8267	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1633	20.07	3.60
0x50	 14:39:58.065	-0.0645	-0.8267	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.07	3.60
0x50	 14:39:58.065	-0.0640	-0.8228	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.02	3.60
0x50	 14:39:58.065	-0.0640	-0.8228	0.5771	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.02	3.60
0x50	 14:39:58.133	-0.0664	-0.8262	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.04	3.60
0x50	 14:39:58.134	-0.0664	-0.8262	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.04	3.60
0x50	 14:39:58.134	-0.0620	-0.8223	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.08	3.60
0x50	 14:39:58.134	-0.0620	-0.8223	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.08	3.60
0x50	 14:39:58.134	-0.0664	-0.8237	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6420	-141.1578	20.06	3.60
0x50	 14:39:58.134	-0.0664	-0.8237	0.5781	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.06	3.60
0x50	 14:39:58.134	-0.0640	-0.8232	0.5796	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.134	-0.0640	-0.8232	0.5796	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.134	-0.0640	-0.8237	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.237	-0.0640	-0.8237	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.237	-0.0640	-0.8242	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.04	3.60
0x50	 14:39:58.237	-0.0640	-0.8242	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.04	3.60
0x50	 14:39:58.237	-0.0645	-0.8242	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.237	-0.0645	-0.8242	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.237	-0.0659	-0.8247	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.237	-0.0659	-0.8247	0.5776	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.237	-0.0645	-0.8252	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.238	-0.0645	-0.8252	0.5786	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.298	-0.0620	-0.8232	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.298	-0.0620	-0.8232	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.298	-0.0620	-0.8232	0.5791	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.09	3.60
0x50	 14:39:58.298	-0.0649	-0.8218	0.5806	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.09	3.60
0x50	 14:39:58.398	-0.0649	-0.8218	0.5806	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.09	3.60
0x50	 14:39:58.399	-0.0654	-0.8252	0.5796	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.399	-0.0654	-0.8252	0.5796	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.399	-0.0635	-0.8257	0.5752	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.399	-0.0635	-0.8257	0.5752	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.399	-0.0635	-0.8276	0.5718	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.399	-0.0635	-0.8276	0.5718	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.399	-0.0571	-0.8276	0.5713	-0.1831	0.1221	0.0000	-54.9536	3.6475	-141.1633	20.07	3.60
0x50	 14:39:58.400	-0.0571	-0.8276	0.5713	-0.1831	0.1221	0.0000	-54.9536	3.6475	-141.1633	20.07	3.60
0x50	 14:39:58.400	-0.0762	-0.8105	0.5923	0.1221	-0.1221	0.0000	-54.9536	3.6475	-141.1633	20.06	3.60
0x50	 14:39:58.400	-0.0762	-0.8105	0.5923	0.1221	-0.1221	0.0000	-54.9536	3.6475	-141.1578	20.06	3.60
0x50	 14:39:58.400	-0.0596	-0.8149	0.5864	0.0610	-0.0610	0.0000	-54.9536	3.6475	-141.1578	20.06	3.60
0x50	 14:39:58.400	-0.0596	-0.8149	0.5864	0.0610	-0.0610	0.0000	-54.9481	3.6475	-141.1578	20.06	3.60
0x50	 14:39:58.477	-0.0610	-0.8345	0.5625	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.478	-0.0610	-0.8345	0.5625	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.478	-0.0654	-0.8359	0.5703	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.09	3.60
0x50	 14:39:58.478	-0.0654	-0.8359	0.5703	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.09	3.60
0x50	 14:39:58.478	-0.0625	-0.8125	0.5864	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.04	3.60
0x50	 14:39:58.478	-0.0625	-0.8125	0.5864	0.0000	0.0000	0.0000	-54.9536	3.6475	-141.1578	20.04	3.60
0x50	 14:39:58.478	-0.0669	-0.8125	0.5889	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.06	3.60
0x50	 14:39:58.478	-0.0669	-0.8125	0.5889	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.06	3.60
0x50	 14:39:58.478	-0.0640	-0.8350	0.5698	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.577	-0.0640	-0.8350	0.5698	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.579	-0.0596	-0.8330	0.5674	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.579	-0.0596	-0.8330	0.5674	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.60
0x50	 14:39:58.579	-0.0679	-0.8184	0.5845	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.579	-0.0679	-0.8184	0.5845	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.60
0x50	 14:39:58.579	-0.0635	-0.8110	0.5894	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.61
0x50	 14:39:58.579	-0.0635	-0.8110	0.5894	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.61
0x50	 14:39:58.579	-0.0649	-0.8320	0.5713	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.04	3.61
0x50	 14:39:58.579	-0.0649	-0.8320	0.5713	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.04	3.61
0x50	 14:39:58.651	-0.0625	-0.8350	0.5674	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.06	3.61
0x50	 14:39:58.651	-0.0625	-0.8350	0.5674	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.06	3.61
0x50	 14:39:58.651	-0.0635	-0.8208	0.5825	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.61
0x50	 14:39:58.651	-0.0635	-0.8208	0.5825	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.61
0x50	 14:39:58.651	-0.0664	-0.8120	0.5898	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.61
0x50	 14:39:58.651	-0.0664	-0.8120	0.5898	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.05	3.61
0x50	 14:39:58.651	-0.0640	-0.8281	0.5742	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.04	3.61
0x50	 14:39:58.651	-0.0640	-0.8281	0.5742	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.04	3.61
0x50	 14:39:58.751	-0.0610	-0.8340	0.5674	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.61
0x50	 14:39:58.751	-0.0610	-0.8340	0.5674	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.61
0x50	 14:39:58.751	-0.0649	-0.8223	0.5796	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.11	3.61
0x50	 14:39:58.751	-0.0649	-0.8223	0.5796	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.11	3.61
0x50	 14:39:58.752	-0.0654	-0.8135	0.5889	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.03	3.61
0x50	 14:39:58.752	-0.0654	-0.8135	0.5889	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.03	3.61
0x50	 14:39:58.752	-0.0640	-0.8257	0.5776	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.09	3.61
0x50	 14:39:58.752	-0.0640	-0.8257	0.5776	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.09	3.61
0x50	 14:39:58.752	-0.0625	-0.8345	0.5679	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.61
0x50	 14:39:58.752	-0.0625	-0.8345	0.5679	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.07	3.61
0x50	 14:39:58.830	-0.0635	-0.8232	0.5776	0.0000	0.0000	0.0000	-54.9481	3.6475	-141.1578	20.10	3.61
