StartTime: 2022-12-24 14:44:20.938 sarada
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 14:44:20.938	-0.0254	0.0464	1.0054	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.91	3.63
0x50	 14:44:20.938	-0.0293	0.0435	1.0039	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.92	3.63
0x50	 14:44:20.938	-0.0293	0.0435	1.0039	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.92	3.63
0x50	 14:44:20.938	-0.0332	0.0425	1.0059	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.92	3.63
0x50	 14:44:20.938	-0.0332	0.0425	1.0059	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.92	3.63
0x50	 14:44:20.938	-0.0298	0.0439	1.0034	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.95	3.63
0x50	 14:44:20.938	-0.0298	0.0439	1.0034	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.95	3.63
0x50	 14:44:20.938	-0.0244	0.0425	1.0044	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.94	3.63
0x50	 14:44:20.938	-0.0244	0.0425	1.0044	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.94	3.63
0x50	 14:44:21.014	-0.0273	0.0474	1.0049	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.91	3.63
0x50	 14:44:21.014	-0.0273	0.0474	1.0049	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.91	3.63
0x50	 14:44:21.014	-0.0342	0.0425	1.0054	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.95	3.63
0x50	 14:44:21.014	-0.0342	0.0425	1.0054	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.95	3.63
0x50	 14:44:21.014	-0.0283	0.0405	1.0010	0.0000	0.0000	0.0000	2.5323	1.6589	-7.5531	27.91	3.63
0x50	 14:44:21.014	-0.0283	0.0405	1.0010	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.91	3.63
0x50	 14:44:21.014	-0.0249	0.0479	1.0078	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.94	3.63
0x50	 14:44:21.015	-0.0249	0.0479	1.0078	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.94	3.63
0x50	 14:44:21.015	-0.0269	0.0459	1.0039	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.92	3.63
0x50	 14:44:21.174	-0.0269	0.0459	1.0039	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.92	3.63
0x50	 14:44:21.174	-0.0322	0.0396	1.0034	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.93	3.63
0x50	 14:44:21.175	-0.0322	0.0396	1.0034	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.93	3.63
0x50	 14:44:21.175	-0.0327	0.0464	1.0054	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.94	3.63
0x50	 14:44:21.175	-0.0327	0.0464	1.0054	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.94	3.63
0x50	 14:44:21.175	-0.0244	0.0435	1.0039	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.93	3.63
0x50	 14:44:21.175	-0.0244	0.0435	1.0039	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.93	3.63
0x50	 14:44:21.175	-0.0254	0.0444	1.0059	0.0000	0.0000	0.0000	2.5269	1.6589	-7.5531	27.89	3.63
