StartTime: 2022-12-26 20:15:44.419 sarada 12/26
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 20:15:44.419	-0.1074	-0.1025	0.9932	2.3804	-0.4883	-1.7090	-6.5369	6.1743	-105.7764	22.80	3.61
0x50	 20:15:44.419	-0.1074	-0.1025	0.9932	2.3804	-0.4883	-1.7090	-6.5149	6.1633	-105.7928	22.80	3.61
0x50	 20:15:44.419	-0.1172	-0.1084	0.9917	0.7324	-1.7700	-1.8311	-6.5094	6.1469	-105.8093	22.82	3.61
0x50	 20:15:44.419	-0.1172	-0.1084	0.9917	0.7324	-1.7700	-1.8311	-6.5039	6.1249	-105.8258	22.82	3.61
0x50	 20:15:44.419	-0.1143	-0.1099	0.9907	-0.8545	-3.6621	-2.1362	-6.5094	6.0919	-105.8478	22.82	3.61
0x50	 20:15:44.419	-0.1143	-0.1099	0.9907	-0.8545	-3.6621	-2.1362	-6.5204	6.0535	-105.8643	22.82	3.61
0x50	 20:15:44.419	-0.0962	-0.1172	1.0010	-1.8921	-3.9063	-2.9907	-6.5424	6.0095	-105.8917	22.76	3.61
0x50	 20:15:44.419	-0.0962	-0.1172	1.0010	-1.8921	-3.9063	-2.9907	-6.5588	5.9711	-105.9137	22.76	3.61
0x50	 20:15:44.419	-0.0864	-0.1323	0.9927	-0.7324	-1.8921	-2.6855	-6.5698	5.9491	-105.9412	22.83	3.61
0x50	 20:15:44.517	-0.0864	-0.1323	0.9927	-0.7324	-1.8921	-2.6855	-6.5808	5.9271	-105.9686	22.83	3.61
0x50	 20:15:44.517	-0.0942	-0.1436	0.9829	2.1362	-1.0376	-1.8921	-6.5643	5.9161	-105.9851	22.81	3.61
0x50	 20:15:44.517	-0.0942	-0.1436	0.9829	2.1362	-1.0376	-1.8921	-6.5424	5.9052	-106.0016	22.81	3.61
0x50	 20:15:44.517	-0.1011	-0.1440	0.9883	4.9438	-0.4883	-0.7935	-6.4984	5.8997	-106.0126	22.79	3.61
0x50	 20:15:44.517	-0.1011	-0.1440	0.9883	4.9438	-0.4883	-0.7935	-6.4545	5.8887	-106.0181	22.79	3.61
0x50	 20:15:44.517	-0.0996	-0.1338	0.9917	5.9814	0.0000	-1.1597	-6.3995	5.8887	-106.0291	22.81	3.61
0x50	 20:15:44.517	-0.0996	-0.1338	0.9917	5.9814	0.0000	-1.1597	-6.3501	5.8887	-106.0455	22.81	3.61
0x50	 20:15:44.517	-0.0737	-0.1377	1.0010	6.8359	1.9531	-2.9297	-6.2897	5.8997	-106.0785	22.81	3.61
0x50	 20:15:44.517	-0.0737	-0.1377	1.0010	6.8359	1.9531	-2.9297	-6.2292	5.9161	-106.1060	22.81	3.61
0x50	 20:15:44.607	-0.0557	-0.1519	1.0044	11.4136	7.9956	-3.8452	-6.1304	5.9875	-106.1554	22.76	3.61
0x50	 20:15:44.607	-0.0557	-0.1519	1.0044	11.4136	7.9956	-3.8452	-6.0315	6.0590	-106.2048	22.76	3.61
0x50	 20:15:44.607	-0.0693	-0.1538	0.9990	18.7988	14.7705	-4.4556	-5.8612	6.1908	-106.2653	22.79	3.61
0x50	 20:15:44.607	-0.0693	-0.1538	0.9990	18.7988	14.7705	-4.4556	-5.6909	6.3281	-106.3257	22.79	3.61
0x50	 20:15:44.607	-0.0728	-0.1313	0.9990	23.3154	18.2495	-3.2349	-5.4767	6.4929	-106.3751	22.78	3.61
0x50	 20:15:44.607	-0.0728	-0.1313	0.9990	23.3154	18.2495	-3.2349	-5.2625	6.6632	-106.4246	22.78	3.61
0x50	 20:15:44.607	-0.1094	-0.0894	1.0088	18.0054	16.8457	2.5024	-5.0977	6.8225	-106.4191	22.83	3.61
