StartTime: 2023-01-02 20:35:38.728 s suteki 1/2
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 20:35:38.728	-0.5918	-0.5317	0.6006	-0.6714	-0.9155	-0.5493	-41.6547	36.6833	58.9801	30.53	4.07
0x50	 20:35:38.728	-0.5913	-0.5313	0.6006	-0.9155	0.0000	-0.6104	-41.6656	36.6779	58.9746	30.55	4.07
0x50	 20:35:38.728	-0.5913	-0.5313	0.6006	-0.9155	0.0000	-0.6104	-41.6766	36.6724	58.9746	30.55	4.07
0x50	 20:35:38.728	-0.5962	-0.5254	0.5981	-0.0610	0.6714	-1.0376	-41.6876	36.6724	58.9581	30.55	4.07
0x50	 20:35:38.728	-0.5962	-0.5254	0.5981	-0.0610	0.6714	-1.0376	-41.6931	36.6724	58.9471	30.55	4.07
0x50	 20:35:38.728	-0.5986	-0.5229	0.5952	-0.9766	0.9766	-1.5869	-41.7151	36.6669	58.9252	30.50	4.07
0x50	 20:35:38.728	-0.5986	-0.5229	0.5952	-0.9766	0.9766	-1.5869	-41.7426	36.6669	58.9032	30.50	4.07
0x50	 20:35:38.728	-0.5986	-0.5303	0.5933	-2.3804	0.7324	-1.7090	-41.7755	36.6614	58.8812	30.59	4.07
0x50	 20:35:38.728	-0.5986	-0.5303	0.5933	-2.3804	0.7324	-1.7090	-41.8085	36.6559	58.8593	30.59	4.07
0x50	 20:35:38.805	-0.5981	-0.5376	0.5947	-2.9907	0.5493	-0.7935	-41.8469	36.6559	58.8483	30.57	4.07
0x50	 20:35:38.805	-0.5981	-0.5376	0.5947	-2.9907	0.5493	-0.7935	-41.8799	36.6559	58.8373	30.57	4.07
0x50	 20:35:38.805	-0.5977	-0.5386	0.5898	-2.0142	1.0376	-0.1831	-41.9073	36.6669	58.8318	30.58	4.07
0x50	 20:35:38.805	-0.5977	-0.5386	0.5898	-2.0142	1.0376	-0.1831	-41.9348	36.6724	58.8208	30.58	4.07
0x50	 20:35:38.805	-0.5962	-0.5366	0.5815	-2.0752	0.3662	0.0000	-41.9568	36.6779	58.8208	30.54	4.07
0x50	 20:35:38.805	-0.5962	-0.5366	0.5815	-2.0752	0.3662	0.0000	-41.9788	36.6779	58.8153	30.54	4.07
0x50	 20:35:38.805	-0.5933	-0.5430	0.5859	-1.3428	-1.0986	0.3052	-41.9843	36.6724	58.8318	30.59	4.07
0x50	 20:35:38.805	-0.5933	-0.5430	0.5859	-1.3428	-1.0986	0.3052	-41.9897	36.6669	58.8428	30.59	4.07
0x50	 20:35:38.805	-0.5918	-0.5430	0.5947	-0.5493	-1.0986	0.8545	-41.9897	36.6669	58.8593	30.58	4.07
0x50	 20:35:38.884	-0.5918	-0.5430	0.5947	-0.5493	-1.0986	0.8545	-41.9843	36.6669	58.8812	30.58	4.07
0x50	 20:35:38.884	-0.5923	-0.5366	0.5947	-0.2441	-0.2441	1.0376	-41.9788	36.6724	58.8922	30.61	4.07
0x50	 20:35:38.884	-0.5923	-0.5366	0.5947	-0.2441	-0.2441	1.0376	-41.9788	36.6779	58.9032	30.61	4.07
0x50	 20:35:38.884	-0.5962	-0.5283	0.5918	0.0610	0.0610	0.3662	-41.9733	36.6779	58.9087	30.57	4.07
0x50	 20:35:38.884	-0.5962	-0.5283	0.5918	0.0610	0.0610	0.3662	-41.9733	36.6833	58.9142	30.57	4.07
