StartTime: 2023-01-02 20:50:53.118 m staki 1/2
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 20:50:53.118	-0.2153	-0.5752	-0.9150	-184.2651	-2.5635	-9.5215	-142.2729	14.2273	114.8236	32.90	4.03
0x50	 20:50:53.119	-0.1836	-0.4917	-0.9585	-202.8809	22.0337	0.8545	-144.2230	14.0570	114.6368	32.91	4.03
0x50	 20:50:53.119	-0.1836	-0.4917	-0.9585	-202.8809	22.0337	0.8545	-146.1731	13.8867	114.4611	32.91	4.03
0x50	 20:50:53.119	-0.2246	-0.4810	-0.9214	-203.6133	39.7949	16.9678	-148.1946	13.6450	114.0436	32.92	4.04
0x50	 20:50:53.119	-0.2246	-0.4810	-0.9214	-203.6133	39.7949	16.9678	-150.2106	13.3923	113.6426	32.92	4.03
0x50	 20:50:53.119	-0.2441	-0.4258	-0.8379	-201.8433	32.4097	22.2778	-152.2101	13.2166	113.2361	32.91	4.04
0x50	 20:50:53.119	-0.2441	-0.4258	-0.8379	-201.8433	32.4097	22.2778	-154.2041	13.0298	112.8406	32.91	4.04
0x50	 20:50:53.119	-0.2837	-0.4077	-0.8491	-233.1543	5.7373	11.5967	-156.4563	13.0353	112.6648	32.88	4.04
0x50	 20:50:53.119	-0.2837	-0.4077	-0.8491	-233.1543	5.7373	11.5967	-158.7085	13.0298	112.4835	32.88	4.04
0x50	 20:50:53.201	-0.2144	-0.5381	-0.9497	-175.0488	-18.1885	2.5635	-160.3345	13.2166	112.4835	32.91	4.04
0x50	 20:50:53.202	-0.2144	-0.5381	-0.9497	-175.0488	-18.1885	2.5635	-161.9604	13.3978	112.4780	32.91	4.04
0x50	 20:50:53.202	-0.0649	-0.4609	-0.9858	-57.4341	-12.5122	-3.5400	-162.3999	13.4967	112.5110	32.85	4.04
0x50	 20:50:53.202	-0.0649	-0.4609	-0.9858	-57.4341	-12.5122	-3.5400	-162.8503	13.5956	112.5439	32.85	4.04
0x50	 20:50:53.202	-0.1689	-0.3101	-0.8955	-39.7339	-9.0332	-15.5640	-163.1030	13.6230	112.6868	32.87	4.04
0x50	 20:50:53.202	-0.1689	-0.3101	-0.8955	-39.7339	-9.0332	-15.5640	-163.3612	13.6505	112.8241	32.87	4.04
0x50	 20:50:53.202	-0.1567	-0.2827	-0.8872	-33.7524	-19.2871	-24.2310	-163.5425	13.7494	113.0823	32.92	4.04
0x50	 20:50:53.202	-0.1567	-0.2827	-0.8872	-33.7524	-19.2871	-24.2310	-163.7292	13.8483	113.3405	32.92	4.04
0x50	 20:50:53.202	-0.1240	-0.1899	-0.9321	-85.6323	-14.2822	-40.7715	-164.3994	13.8538	113.7469	32.89	4.04
0x50	 20:50:53.259	-0.1240	-0.1899	-0.9321	-85.6323	-14.2822	-40.7715	-165.0806	13.8647	114.1534	32.89	4.04
0x50	 20:50:53.260	-0.2446	-0.1968	-0.9341	-112.3657	-19.4092	-41.5039	-166.0309	13.9307	114.5819	32.94	4.04
0x50	 20:50:53.260	-0.2446	-0.1968	-0.9341	-112.3657	-19.4092	-41.5039	-166.9757	14.0021	115.0049	32.94	4.04
0x50	 20:50:53.260	-0.3052	-0.1348	-0.8994	-43.2129	-43.7012	-10.9253	-167.2998	14.3921	115.1807	32.92	4.04
0x50	 20:50:53.260	-0.3052	-0.1348	-0.8994	-43.2129	-43.7012	-10.9253	-167.6239	14.7766	115.3510	32.92	4.04
0x50	 20:50:53.260	-0.2954	-0.0972	-0.9160	-8.6060	-56.0913	7.5684	-167.6569	15.3314	115.3619	32.94	4.04
0x50	 20:50:53.260	-0.2954	-0.0972	-0.9160	-8.6060	-56.0913	7.5684	-167.6898	15.8807	115.3729	32.94	4.04
0x50	 20:50:53.260	-0.3433	-0.0938	-0.9468	3.8452	-56.3965	17.0898	-167.6349	16.4575	115.2905	32.91	4.04
0x50	 20:50:53.260	-0.3433	-0.0938	-0.9468	3.8452	-56.3965	17.0898	-167.5909	17.0288	115.2081	32.91	4.04
