StartTime: 2022-12-26 19:49:34.129 cary 12/26
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 19:49:34.129	0.0391	-0.4507	0.8999	0.0000	0.0000	0.0000	-26.4990	-2.1808	-100.5743	23.84	3.62
0x50	 19:49:34.130	0.0391	-0.4507	0.8999	0.0000	0.0000	0.0000	-26.4990	-2.1808	-100.5743	23.84	3.62
0x50	 19:49:34.130	0.0386	-0.4487	0.9014	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5743	23.87	3.62
0x50	 19:49:34.130	0.0386	-0.4487	0.9014	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5743	23.87	3.62
0x50	 19:49:34.131	0.0386	-0.4492	0.9009	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.81	3.62
0x50	 19:49:34.131	0.0386	-0.4492	0.9009	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.81	3.62
0x50	 19:49:34.131	0.0391	-0.4512	0.8994	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.82	3.62
0x50	 19:49:34.131	0.0391	-0.4512	0.8994	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.82	3.62
0x50	 19:49:34.131	0.0381	-0.4517	0.8994	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.83	3.62
0x50	 19:49:34.226	0.0381	-0.4517	0.8994	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.83	3.62
0x50	 19:49:34.226	0.0391	-0.4502	0.9014	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.83	3.62
0x50	 19:49:34.226	0.0391	-0.4502	0.9014	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.83	3.62
0x50	 19:49:34.226	0.0381	-0.4497	0.9014	0.0000	0.0000	0.0000	-26.5045	-2.1808	-100.5798	23.84	3.62
0x50	 19:49:34.226	0.0381	-0.4497	0.9014	0.0000	0.0000	0.0000	-26.5100	-2.1808	-100.5798	23.84	3.62
0x50	 19:49:34.226	0.0386	-0.4502	0.9004	0.0000	0.0000	0.0000	-26.5100	-2.1808	-100.5798	23.81	3.62
0x50	 19:49:34.226	0.0386	-0.4502	0.9004	0.0000	0.0000	0.0000	-26.5100	-2.1808	-100.5798	23.81	3.62
0x50	 19:49:34.226	0.0381	-0.4512	0.8994	0.0000	0.0000	0.0000	-26.5100	-2.1808	-100.5798	23.84	3.62
0x50	 19:49:34.226	0.0381	-0.4512	0.8994	0.0000	0.0000	0.0000	-26.5100	-2.1808	-100.5798	23.84	3.62
0x50	 19:49:34.315	0.0386	-0.4512	0.8994	0.0000	0.0000	0.0000	-26.5100	-2.1808	-100.5798	23.85	3.62
