StartTime: 2022-12-26 20:02:19.371 cary2 12/26
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 20:02:19.371	-0.0630	-0.2461	0.9780	2.3804	1.5259	2.7466	-14.1888	3.8782	-162.1692	26.93	3.62
0x50	 20:02:19.371	-0.0630	-0.2461	0.9780	2.3804	1.5259	2.7466	-14.1614	3.9001	-162.1527	26.93	3.62
0x50	 20:02:19.371	-0.0688	-0.2461	0.9785	1.8311	3.4180	3.3569	-14.1394	3.9276	-162.1362	26.95	3.62
0x50	 20:02:19.371	-0.0688	-0.2461	0.9785	1.8311	3.4180	3.3569	-14.1229	3.9661	-162.1198	26.95	3.62
0x50	 20:02:19.371	-0.0610	-0.2441	0.9717	1.0376	3.6011	3.0518	-14.1064	4.0045	-162.1033	26.91	3.62
0x50	 20:02:19.371	-0.0610	-0.2441	0.9717	1.0376	3.6011	3.0518	-14.0955	4.0430	-162.0868	26.91	3.62
0x50	 20:02:19.371	-0.0674	-0.2500	0.9668	1.0986	2.9907	2.9297	-14.0845	4.0814	-162.0758	26.97	3.62
0x50	 20:02:19.372	-0.0674	-0.2500	0.9668	1.0986	2.9907	2.9297	-14.0735	4.1144	-162.0593	26.97	3.62
0x50	 20:02:19.372	-0.0728	-0.2446	0.9727	2.3193	2.8076	3.7231	-14.0570	4.1473	-162.0374	26.94	3.62
0x50	 20:02:19.396	-0.0728	-0.2446	0.9727	2.3193	2.8076	3.7231	-14.0350	4.1803	-162.0154	26.94	3.62
0x50	 20:02:19.396	-0.0786	-0.2412	0.9741	1.7700	2.3804	4.3335	-14.0131	4.2133	-161.9879	26.97	3.62
0x50	 20:02:19.396	-0.0786	-0.2412	0.9741	1.7700	2.3804	4.3335	-13.9966	4.2407	-161.9604	26.97	3.62
0x50	 20:02:19.396	-0.0840	-0.2402	0.9766	3.8452	2.0752	2.8687	-13.9636	4.2737	-161.9330	26.92	3.62
0x50	 20:02:19.396	-0.0840	-0.2402	0.9766	3.8452	2.0752	2.8687	-13.9252	4.2957	-161.9165	26.92	3.62
0x50	 20:02:19.396	-0.0723	-0.2256	0.9844	6.1646	2.8687	0.1221	-13.8757	4.3231	-161.9165	26.96	3.62
0x50	 20:02:19.396	-0.0723	-0.2256	0.9844	6.1646	2.8687	0.1221	-13.8153	4.3506	-161.9275	26.96	3.62
0x50	 20:02:19.396	-0.0718	-0.2202	0.9751	3.6621	4.2725	-1.5259	-13.7714	4.3781	-161.9495	26.95	3.62
0x50	 20:02:19.396	-0.0718	-0.2202	0.9751	3.6621	4.2725	-1.5259	-13.7329	4.4165	-161.9769	26.95	3.62
0x50	 20:02:19.481	-0.0962	-0.2354	0.9717	4.1504	5.1270	-1.5259	-13.7000	4.4550	-162.0099	26.95	3.62
0x50	 20:02:19.481	-0.0962	-0.2354	0.9717	4.1504	5.1270	-1.5259	-13.6615	4.4989	-162.0428	26.95	3.62
0x50	 20:02:19.481	-0.1025	-0.2363	0.9707	2.9297	4.0283	-1.2207	-13.6285	4.5374	-162.0758	26.89	3.62
0x50	 20:02:19.481	-0.1025	-0.2363	0.9707	2.9297	4.0283	-1.2207	-13.6011	4.5758	-162.0978	26.89	3.62
0x50	 20:02:19.481	-0.0854	-0.2305	0.9727	2.1362	2.5024	-1.4038	-13.5736	4.6033	-162.1252	26.94	3.62
0x50	 20:02:19.481	-0.0854	-0.2305	0.9727	2.1362	2.5024	-1.4038	-13.5571	4.6252	-162.1527	26.94	3.62
