StartTime: 2023-01-03 14:06:32.341 p cary 1/3
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 14:06:32.341	-0.0498	0.0132	1.0005	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.50	3.91
0x50	 14:06:32.341	-0.0498	0.0122	1.0005	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.48	3.91
0x50	 14:06:32.341	-0.0498	0.0122	1.0005	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.48	3.91
0x50	 14:06:32.341	-0.0493	0.0122	1.0010	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.48	3.91
0x50	 14:06:32.341	-0.0493	0.0122	1.0010	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.48	3.91
0x50	 14:06:32.341	-0.0503	0.0107	1.0005	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.54	3.91
0x50	 14:06:32.341	-0.0503	0.0107	1.0005	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.54	3.91
0x50	 14:06:32.341	-0.0498	0.0107	1.0010	0.0000	0.0000	0.0000	0.7361	2.8510	2.9773	26.50	3.91
0x50	 14:06:32.341	-0.0498	0.0107	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.50	3.91
0x50	 14:06:32.414	-0.0488	0.0132	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.51	3.91
0x50	 14:06:32.415	-0.0488	0.0132	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.51	3.91
0x50	 14:06:32.415	-0.0503	0.0142	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.50	3.91
0x50	 14:06:32.415	-0.0503	0.0142	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.50	3.91
0x50	 14:06:32.415	-0.0503	0.0117	1.0020	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.52	3.91
0x50	 14:06:32.415	-0.0503	0.0117	1.0020	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.52	3.91
0x50	 14:06:32.415	-0.0493	0.0132	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.55	3.91
0x50	 14:06:32.415	-0.0493	0.0132	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.55	3.91
0x50	 14:06:32.495	-0.0488	0.0122	1.0005	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.54	3.91
0x50	 14:06:32.495	-0.0488	0.0122	1.0005	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.54	3.91
0x50	 14:06:32.496	-0.0503	0.0112	1.0005	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.50	3.92
0x50	 14:06:32.496	-0.0503	0.0112	1.0005	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.50	3.92
0x50	 14:06:32.496	-0.0508	0.0127	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.49	3.92
0x50	 14:06:32.496	-0.0508	0.0127	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.49	3.92
0x50	 14:06:32.496	-0.0503	0.0137	1.0000	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.49	3.92
0x50	 14:06:32.496	-0.0503	0.0137	1.0000	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.49	3.92
0x50	 14:06:32.496	-0.0498	0.0132	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.49	3.92
0x50	 14:06:32.591	-0.0498	0.0132	1.0010	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.49	3.92
0x50	 14:06:32.592	-0.0493	0.0117	1.0015	0.0000	0.0000	0.0000	0.7306	2.8510	2.9773	26.52	3.92
