StartTime: 2022-12-24 14:56:03.934 ice
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 14:56:03.934	0.0098	0.0366	1.0093	-1.4648	-38.2080	1.6479	2.0984	0.7416	127.5732	24.36	3.61
0x50	 14:56:03.934	0.1152	0.0313	1.0059	0.2441	7.9346	-0.2441	2.1039	0.8240	127.5732	24.32	3.61
0x50	 14:56:03.934	0.1152	0.0313	1.0059	0.2441	7.9346	-0.2441	2.1039	0.9009	127.5732	24.32	3.61
0x50	 14:56:03.934	-0.0371	0.0396	1.0063	1.0376	35.4004	-1.3428	2.1149	1.2524	127.5732	24.35	3.61
0x50	 14:56:03.934	-0.0371	0.0396	1.0063	1.0376	35.4004	-1.3428	2.1259	1.6040	127.5732	24.35	3.61
0x50	 14:56:03.935	-0.0781	0.0386	1.0010	0.5493	17.3950	-0.5493	2.1313	1.7688	127.5732	24.32	3.61
0x50	 14:56:03.935	-0.0781	0.0386	1.0010	0.5493	17.3950	-0.5493	2.1368	1.9391	127.5732	24.32	3.61
0x50	 14:56:03.935	-0.0718	0.0381	1.0015	-0.1221	-3.2349	0.1831	2.1368	1.9061	127.5732	24.36	3.61
0x50	 14:56:03.935	-0.0718	0.0381	1.0015	-0.1221	-3.2349	0.1831	2.1368	1.8732	127.5732	24.36	3.61
0x50	 14:56:04.024	-0.0566	0.0386	1.0010	-0.6104	-18.8599	0.8545	2.1313	1.6864	127.5787	24.30	3.61
0x50	 14:56:04.024	-0.0566	0.0386	1.0010	-0.6104	-18.8599	0.8545	2.1204	1.4996	127.5787	24.30	3.61
0x50	 14:56:04.024	-0.0127	0.0386	1.0059	-0.6714	-23.0713	1.0376	2.1149	1.2744	127.5787	24.33	3.61
0x50	 14:56:04.024	-0.0127	0.0386	1.0059	-0.6714	-23.0713	1.0376	2.1094	1.0492	127.5842	24.33	3.61
0x50	 14:56:04.024	0.0625	0.0342	1.0088	0.0000	-0.7324	0.0610	2.1094	1.0437	127.5842	24.35	3.61
0x50	 14:56:04.024	0.0625	0.0342	1.0088	0.0000	-0.7324	0.0610	2.1094	1.0382	127.5842	24.35	3.61
0x50	 14:56:04.024	-0.0151	0.0356	1.0039	0.4883	18.3105	-0.6104	2.1149	1.2195	127.5842	24.35	3.61
0x50	 14:56:04.024	-0.0151	0.0356	1.0039	0.4883	18.3105	-0.6104	2.1204	1.3953	127.5842	24.35	3.61
0x50	 14:56:04.114	-0.0640	0.0391	1.0015	0.2441	10.4370	-0.3052	2.1204	1.4996	127.5842	24.33	3.61
0x50	 14:56:04.115	-0.0640	0.0391	1.0015	0.2441	10.4370	-0.3052	2.1259	1.6040	127.5842	24.33	3.61
0x50	 14:56:04.115	-0.0718	0.0405	1.0020	-0.3052	-12.2070	0.5493	2.1204	1.4777	127.5842	24.34	3.61
0x50	 14:56:04.116	-0.0718	0.0405	1.0020	-0.3052	-12.2070	0.5493	2.1204	1.3623	127.5842	24.34	3.61
0x50	 14:56:04.116	-0.0088	0.0386	1.0073	-0.9155	-25.9399	1.1597	2.1094	1.1041	127.5897	24.33	3.61
0x50	 14:56:04.116	-0.0088	0.0386	1.0073	-0.9155	-25.9399	1.1597	2.1039	0.8514	127.5897	24.33	3.61
0x50	 14:56:04.116	0.0781	0.0322	1.0063	0.3052	8.5449	-0.1831	2.1039	0.9338	127.5897	24.33	3.61
0x50	 14:56:04.116	0.0781	0.0322	1.0063	0.3052	8.5449	-0.1831	2.1094	1.0217	127.5952	24.33	3.61
0x50	 14:56:04.116	-0.0503	0.0386	1.0039	0.4883	19.7144	-0.7324	2.1149	1.2140	127.5952	24.35	3.61
0x50	 14:56:04.257	-0.0503	0.0386	1.0039	0.4883	19.7144	-0.7324	2.1204	1.4063	127.5952	24.35	3.61
0x50	 14:56:04.260	-0.0713	0.0396	1.0024	0.0000	0.4272	0.0000	2.1204	1.4117	127.5952	24.36	3.61
0x50	 14:56:04.260	-0.0713	0.0396	1.0024	0.0000	0.4272	0.0000	2.1204	1.4172	127.5952	24.36	3.61
