StartTime: 2022-12-27 15:06:44.705 ice 12/27
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 15:06:44.705	0.6030	-0.6665	0.4351	-0.7324	-3.6621	3.1128	-55.1898	-37.8534	-26.8616	28.20	3.61
0x50	 15:06:44.706	0.6030	-0.6665	0.4351	-0.7324	-3.6621	3.1128	-55.2393	-37.8424	-26.8011	28.20	3.61
0x50	 15:06:44.706	0.5996	-0.6636	0.4395	-0.0610	-4.5776	3.2959	-55.2887	-37.8369	-26.7297	28.20	3.61
0x50	 15:06:44.706	0.5996	-0.6636	0.4395	-0.0610	-4.5776	3.2959	-55.3381	-37.8314	-26.6583	28.20	3.61
0x50	 15:06:44.706	0.6055	-0.6616	0.4434	0.1221	-5.0659	3.0518	-55.3876	-37.8314	-26.5869	28.17	3.61
0x50	 15:06:44.706	0.6055	-0.6616	0.4434	0.1221	-5.0659	3.0518	-55.4370	-37.8314	-26.5100	28.17	3.61
0x50	 15:06:44.706	0.6152	-0.6582	0.4507	0.3662	-4.7607	2.5635	-55.4810	-37.8314	-26.4441	28.19	3.61
0x50	 15:06:44.706	0.6152	-0.6582	0.4507	0.3662	-4.7607	2.5635	-55.5194	-37.8369	-26.3782	28.19	3.61
0x50	 15:06:44.706	0.6157	-0.6602	0.4517	-0.0610	-3.7842	2.1362	-55.5579	-37.8369	-26.3232	28.21	3.61
0x50	 15:06:44.777	0.6157	-0.6602	0.4517	-0.0610	-3.7842	2.1362	-55.5963	-37.8369	-26.2683	28.21	3.61
0x50	 15:06:44.777	0.6187	-0.6606	0.4448	-0.6714	-3.1128	1.4038	-55.6293	-37.8369	-26.2299	28.20	3.61
0x50	 15:06:44.777	0.6187	-0.6606	0.4448	-0.6714	-3.1128	1.4038	-55.6677	-37.8424	-26.1859	28.20	3.61
0x50	 15:06:44.777	0.6177	-0.6655	0.4429	-0.1831	-2.5635	0.3662	-55.6897	-37.8534	-26.1584	28.21	3.61
0x50	 15:06:44.777	0.6177	-0.6655	0.4429	-0.1831	-2.5635	0.3662	-55.7117	-37.8589	-26.1255	28.21	3.61
0x50	 15:06:44.777	0.6182	-0.6675	0.4395	0.0000	-1.3428	0.0000	-55.7227	-37.8644	-26.1145	28.20	3.61
0x50	 15:06:44.777	0.6182	-0.6675	0.4395	0.0000	-1.3428	0.0000	-55.7336	-37.8699	-26.1035	28.20	3.61
0x50	 15:06:44.778	0.6191	-0.6714	0.4355	-0.0610	-0.7935	0.9766	-55.7446	-37.8644	-26.0870	28.20	3.61
0x50	 15:06:44.778	0.6191	-0.6714	0.4355	-0.0610	-0.7935	0.9766	-55.7556	-37.8589	-26.0706	28.20	3.61
0x50	 15:06:44.891	0.5996	-0.6807	0.4302	0.0610	-1.1597	2.9297	-55.7831	-37.8369	-26.0376	28.19	3.61
0x50	 15:06:44.891	0.5996	-0.6807	0.4302	0.0610	-1.1597	2.9297	-55.8051	-37.8204	-26.0046	28.19	3.61
0x50	 15:06:44.891	0.5864	-0.6763	0.4277	0.4272	-1.3428	3.6011	-55.8325	-37.7930	-25.9662	28.23	3.61
0x50	 15:06:44.891	0.5864	-0.6763	0.4277	0.4272	-1.3428	3.6011	-55.8545	-37.7655	-25.9277	28.23	3.61
