StartTime: 2023-01-13 20:46:57.467 ice a 1/13
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 20:46:57.467	-0.0376	-0.0317	1.0015	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.468	-0.0376	-0.0317	1.0015	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.468	-0.0371	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.13	3.78
0x50	 20:46:57.468	-0.0371	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.13	3.78
0x50	 20:46:57.468	-0.0376	-0.0317	1.0024	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.468	-0.0376	-0.0317	1.0024	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.468	-0.0371	-0.0313	1.0029	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.13	3.78
0x50	 20:46:57.468	-0.0371	-0.0313	1.0029	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.13	3.78
0x50	 20:46:57.468	-0.0366	-0.0322	1.0029	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.546	-0.0366	-0.0322	1.0029	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.546	-0.0381	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.13	3.78
0x50	 20:46:57.546	-0.0381	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.13	3.78
0x50	 20:46:57.546	-0.0381	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.546	-0.0381	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.546	-0.0371	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.546	-0.0371	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.546	-0.0371	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.547	-0.0371	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.656	-0.0376	-0.0322	1.0024	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.12	3.78
0x50	 20:46:57.656	-0.0376	-0.0322	1.0024	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.12	3.78
0x50	 20:46:57.656	-0.0381	-0.0317	1.0015	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.656	-0.0381	-0.0317	1.0015	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.11	3.78
0x50	 20:46:57.656	-0.0371	-0.0317	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.656	-0.0371	-0.0317	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.656	-0.0376	-0.0308	1.0024	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.07	3.78
0x50	 20:46:57.656	-0.0376	-0.0308	1.0024	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.07	3.78
0x50	 20:46:57.656	-0.0376	-0.0313	1.0034	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.12	3.78
0x50	 20:46:57.736	-0.0376	-0.0313	1.0034	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.12	3.78
0x50	 20:46:57.736	-0.0366	-0.0322	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.736	-0.0366	-0.0322	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.14	3.78
0x50	 20:46:57.737	-0.0376	-0.0313	1.0020	0.0000	0.0000	0.0000	-1.8127	2.1368	57.1289	25.13	3.78
