StartTime: 2022-12-27 19:41:56.530 omuraisu 12/27
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 19:41:56.530	-0.0483	-0.0439	1.0024	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.06	3.59
0x50	 19:41:56.530	-0.0479	-0.0444	1.0020	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.05	3.59
0x50	 19:41:56.530	-0.0479	-0.0444	1.0020	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.05	3.59
0x50	 19:41:56.530	-0.0488	-0.0444	1.0020	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.07	3.59
0x50	 19:41:56.530	-0.0488	-0.0444	1.0020	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.07	3.59
0x50	 19:41:56.530	-0.0483	-0.0444	1.0024	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.04	3.59
0x50	 19:41:56.531	-0.0483	-0.0444	1.0024	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.04	3.59
0x50	 19:41:56.531	-0.0483	-0.0444	1.0024	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.08	3.59
0x50	 19:41:56.531	-0.0483	-0.0444	1.0024	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.08	3.59
0x50	 19:41:56.616	-0.0483	-0.0449	1.0024	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.08	3.59
0x50	 19:41:56.616	-0.0483	-0.0449	1.0024	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.08	3.59
0x50	 19:41:56.616	-0.0488	-0.0444	1.0020	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.03	3.59
0x50	 19:41:56.616	-0.0488	-0.0444	1.0020	0.0000	0.0000	0.0000	-2.5598	2.7740	17.5671	23.03	3.59
