StartTime: 2023-01-03 12:37:56.216 m omuraisu 1/3
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 12:37:56.216	-0.2305	0.0293	0.9336	-23.4985	-41.1377	14.0381	3.6145	10.8875	32.6569	25.77	3.96
0x50	 12:37:56.216	-0.2305	0.0293	0.9336	-23.4985	-41.1377	14.0381	3.4277	10.4865	32.7667	25.77	3.96
0x50	 12:37:56.216	-0.2212	0.0879	0.9839	-13.9160	-51.3306	8.1177	3.2739	10.0360	32.8491	25.78	3.96
0x50	 12:37:56.216	-0.2212	0.0879	0.9839	-13.9160	-51.3306	8.1177	3.1696	9.5361	32.8931	25.78	3.96
0x50	 12:37:56.216	-0.2095	0.0508	1.0327	-18.0054	-52.6123	-1.2207	3.0322	9.0363	32.8931	25.79	3.96
0x50	 12:37:56.216	-0.2095	0.0508	1.0327	-18.0054	-52.6123	-1.2207	2.8619	8.5364	32.8436	25.79	3.96
0x50	 12:37:56.216	-0.1567	0.0283	1.0552	-3.7231	-51.6968	-10.3760	2.7631	8.0475	32.7502	25.79	3.96
0x50	 12:37:56.216	-0.1567	0.0283	1.0552	-3.7231	-51.6968	-10.3760	2.7246	7.5641	32.6184	25.79	3.96
0x50	 12:37:56.216	-0.1323	0.0337	1.0269	-2.4414	-52.5513	-12.9395	2.6862	7.0752	32.4646	25.78	3.96
0x50	 12:37:56.264	-0.1323	0.0337	1.0269	-2.4414	-52.5513	-12.9395	2.6587	6.5808	32.3053	25.78	3.96
0x50	 12:37:56.264	-0.0957	0.0195	1.0034	-3.7231	-55.7251	-10.3760	2.6202	6.0754	32.1515	25.80	3.96
0x50	 12:37:56.264	-0.0957	0.0195	1.0034	-3.7231	-55.7251	-10.3760	2.5818	5.5481	32.0142	25.80	3.96
0x50	 12:37:56.265	-0.0571	0.0127	1.0361	-4.5776	-61.0352	-7.6904	2.5323	4.9988	31.8933	25.77	3.96
0x50	 12:37:56.265	-0.0571	0.0127	1.0361	-4.5776	-61.0352	-7.6904	2.4884	4.4220	31.7780	25.77	3.96
0x50	 12:37:56.265	-0.0151	0.0239	1.0952	-2.5635	-58.2886	-7.9346	2.4445	3.8562	31.6681	25.79	3.96
0x50	 12:37:56.265	-0.0151	0.0239	1.0952	-2.5635	-58.2886	-7.9346	2.4170	3.3014	31.5582	25.79	3.96
0x50	 12:37:56.265	0.0220	0.0444	1.0811	-7.7515	-37.4146	-7.4463	2.3621	2.8510	31.4539	25.78	3.96
0x50	 12:37:56.265	0.0220	0.0444	1.0811	-7.7515	-37.4146	-7.4463	2.2852	2.4994	31.3550	25.78	3.96
0x50	 12:37:56.378	0.0088	0.0244	1.0137	-6.7139	-14.4043	-3.6621	2.2137	2.2632	31.2836	25.81	3.96
0x50	 12:37:56.378	0.0088	0.0244	1.0137	-6.7139	-14.4043	-3.6621	2.1478	2.1368	31.2341	25.81	3.96
0x50	 12:37:56.378	-0.0093	0.0513	0.9507	-4.6997	-4.4556	0.0000	2.0929	2.0544	31.2067	25.79	3.96
0x50	 12:37:56.378	-0.0093	0.0513	0.9507	-4.6997	-4.4556	0.0000	2.0490	2.0215	31.1957	25.79	3.96
0x50	 12:37:56.378	-0.0225	0.0786	0.9380	-16.5405	-13.1226	1.4648	1.9446	1.9446	31.1902	25.78	3.96
0x50	 12:37:56.378	-0.0225	0.0786	0.9380	-16.5405	-13.1226	1.4648	1.7853	1.8237	31.1957	25.78	3.96
0x50	 12:37:56.378	-0.0200	0.0757	1.0088	-26.3672	-24.1089	-3.4790	1.5820	1.6479	31.1737	25.82	3.96
0x50	 12:37:56.378	-0.0200	0.0757	1.0088	-26.3672	-24.1089	-3.4790	1.3239	1.4172	31.1243	25.82	3.96
0x50	 12:37:56.378	-0.0146	0.0273	1.1167	-27.8931	-19.6533	-12.3901	1.0657	1.2085	31.0364	25.82	3.96
0x50	 12:37:56.444	-0.0146	0.0273	1.1167	-27.8931	-19.6533	-12.3901	0.7965	1.0217	30.8990	25.82	3.96
0x50	 12:37:56.444	-0.0313	-0.0200	1.1289	-13.3667	-4.2114	-18.0054	0.5988	0.9174	30.7397	25.82	3.96
0x50	 12:37:56.444	-0.0313	-0.0200	1.1289	-13.3667	-4.2114	-18.0054	0.4779	0.8844	30.5530	25.82	3.96
0x50	 12:37:56.444	0.0225	-0.0562	1.0493	-0.6714	4.8828	-15.1978	0.4120	0.8954	30.3772	25.78	3.96
0x50	 12:37:56.444	0.0225	-0.0562	1.0493	-0.6714	4.8828	-15.1978	0.4120	0.9503	30.2179	25.78	3.96
0x50	 12:37:56.444	-0.0107	-0.0635	1.0186	9.1553	-3.2959	-6.1035	0.4559	0.9668	30.1080	25.79	3.96
0x50	 12:37:56.444	-0.0107	-0.0635	1.0186	9.1553	-3.2959	-6.1035	0.5438	0.9338	30.0366	25.79	3.96
0x50	 12:37:56.444	-0.1064	-0.0078	0.9917	3.6621	-3.8452	3.7231	0.6042	0.9064	30.0201	25.79	3.96
0x50	 12:37:56.543	-0.1064	-0.0078	0.9917	3.6621	-3.8452	3.7231	0.6427	0.8734	30.0476	25.79	3.96
0x50	 12:37:56.543	-0.0254	-0.0083	1.0166	-11.2305	-2.4414	7.4463	0.5988	0.8459	30.0970	25.77	3.96
0x50	 12:37:56.543	-0.0254	-0.0083	1.0166	-11.2305	-2.4414	7.4463	0.4889	0.8295	30.1630	25.77	3.96
0x50	 12:37:56.543	-0.0269	-0.0020	1.0020	-0.0610	-4.5776	7.2632	0.4285	0.8020	30.2344	25.83	3.96
0x50	 12:37:56.543	-0.0269	-0.0020	1.0020	-0.0610	-4.5776	7.2632	0.4285	0.7635	30.3003	25.83	3.96
0x50	 12:37:56.543	-0.0205	0.0166	0.9834	0.7935	-7.8125	6.7139	0.4285	0.7086	30.3607	25.83	3.96
0x50	 12:37:56.543	-0.0205	0.0166	0.9834	0.7935	-7.8125	6.7139	0.4340	0.6372	30.4211	25.83	3.96
0x50	 12:37:56.543	-0.0083	0.0293	0.9878	4.5166	-12.5732	5.3711	0.4614	0.5438	30.4761	25.82	3.96
0x50	 12:37:56.543	-0.0083	0.0293	0.9878	4.5166	-12.5732	5.3711	0.5054	0.4285	30.5200	25.82	3.96
0x50	 12:37:56.611	0.0103	0.0259	1.0083	5.9814	-15.3198	1.8921	0.5603	0.2911	30.5475	25.79	3.96
0x50	 12:37:56.613	0.0103	0.0259	1.0083	5.9814	-15.3198	1.8921	0.6207	0.1483	30.5585	25.79	3.96
0x50	 12:37:56.613	0.0225	0.0195	1.0112	11.2305	-15.6250	-1.4648	0.7031	0.0000	30.5530	25.81	3.96
0x50	 12:37:56.613	0.0225	0.0195	1.0112	11.2305	-15.6250	-1.4648	0.8185	-0.1428	30.5310	25.81	3.96
0x50	 12:37:56.613	0.0283	0.0190	1.0068	12.7563	-14.7705	-2.0752	0.9338	-0.2911	30.5035	25.83	3.96
0x50	 12:37:56.613	0.0283	0.0190	1.0068	12.7563	-14.7705	-2.0752	1.0602	-0.4340	30.4761	25.83	3.96
