StartTime: 2023-01-03 12:58:51.667 p omuraisu 1/3
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 12:58:51.667	-0.0391	-0.0273	1.0000	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.94	3.95
0x50	 12:58:51.667	-0.0391	-0.0254	1.0000	0.1221	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.96	3.95
0x50	 12:58:51.668	-0.0391	-0.0254	1.0000	0.1221	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.96	3.95
0x50	 12:58:51.668	-0.0391	-0.0244	1.0005	0.0610	0.0000	0.0000	-1.4557	2.2302	-5.3888	27.00	3.95
0x50	 12:58:51.668	-0.0391	-0.0244	1.0005	0.0610	0.0000	0.0000	-1.4557	2.2302	-5.3888	27.00	3.95
0x50	 12:58:51.668	-0.0391	-0.0249	1.0010	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.95	3.95
0x50	 12:58:51.668	-0.0391	-0.0249	1.0010	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.95	3.95
0x50	 12:58:51.668	-0.0396	-0.0254	1.0005	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.95	3.95
0x50	 12:58:51.668	-0.0396	-0.0254	1.0005	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.95	3.95
0x50	 12:58:51.765	-0.0396	-0.0264	1.0005	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.94	3.95
0x50	 12:58:51.765	-0.0396	-0.0264	1.0005	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.94	3.95
0x50	 12:58:51.765	-0.0386	-0.0264	1.0005	0.0610	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.96	3.95
0x50	 12:58:51.765	-0.0386	-0.0264	1.0005	0.0610	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.96	3.95
0x50	 12:58:51.765	-0.0391	-0.0254	1.0015	0.0610	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.95	3.95
0x50	 12:58:51.765	-0.0391	-0.0254	1.0015	0.0610	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.95	3.95
0x50	 12:58:51.765	-0.0400	-0.0254	1.0000	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.93	3.95
0x50	 12:58:51.765	-0.0400	-0.0254	1.0000	0.0000	0.0000	0.0000	-1.4557	2.2302	-5.3888	26.93	3.95
