StartTime: 2023-01-01 09:56:46.538  m yo-guruto 1/1
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 09:56:46.538	0.6025	0.6836	0.4043	-0.1831	0.0000	-0.7935	59.2548	-37.0020	1.2469	21.75	3.59
0x50	 09:56:46.538	0.6074	0.6870	0.4077	-0.3662	1.0986	-1.7700	59.2493	-36.9855	1.2469	21.76	3.59
0x50	 09:56:46.538	0.6074	0.6870	0.4077	-0.3662	1.0986	-1.7700	59.2438	-36.9635	1.2469	21.76	3.59
0x50	 09:56:46.539	0.6050	0.6943	0.4106	-0.6714	1.2207	-2.2583	59.2383	-36.9415	1.2469	21.75	3.59
0x50	 09:56:46.539	0.6050	0.6943	0.4106	-0.6714	1.2207	-2.2583	59.2328	-36.9141	1.2469	21.75	3.59
0x50	 09:56:46.539	0.5991	0.6943	0.4121	-0.5493	0.5493	-0.9155	59.2273	-36.9031	1.2469	21.74	3.59
0x50	 09:56:46.539	0.5991	0.6943	0.4121	-0.5493	0.5493	-0.9155	59.2218	-36.8976	1.2469	21.74	3.59
0x50	 09:56:46.539	0.6045	0.6938	0.4136	0.4272	-0.6104	0.7935	59.2273	-36.9086	1.2469	21.75	3.59
0x50	 09:56:46.539	0.6045	0.6938	0.4136	0.4272	-0.6104	0.7935	59.2328	-36.9141	1.2415	21.75	3.59
0x50	 09:56:46.630	0.6055	0.6919	0.4146	0.9766	-1.4038	1.0376	59.2438	-36.9305	1.2360	21.75	3.59
0x50	 09:56:46.630	0.6055	0.6919	0.4146	0.9766	-1.4038	1.0376	59.2603	-36.9470	1.2250	21.75	3.59
0x50	 09:56:46.630	0.6006	0.6924	0.4136	0.5493	-1.7090	0.3052	59.2767	-36.9580	1.2085	21.76	3.59
0x50	 09:56:46.630	0.6006	0.6924	0.4136	0.5493	-1.7090	0.3052	59.2932	-36.9690	1.1920	21.76	3.59
0x50	 09:56:46.630	0.6021	0.6934	0.4121	1.8311	-2.0752	-0.1221	59.3207	-36.9800	1.1700	21.77	3.59
0x50	 09:56:46.630	0.6021	0.6934	0.4121	1.8311	-2.0752	-0.1221	59.3536	-36.9910	1.1481	21.77	3.59
0x50	 09:56:46.630	0.6035	0.6973	0.4082	1.9531	-2.6855	-0.3662	59.3921	-36.9965	1.1151	21.75	3.59
0x50	 09:56:46.630	0.6035	0.6973	0.4082	1.9531	-2.6855	-0.3662	59.4305	-37.0074	1.0876	21.75	3.59
0x50	 09:56:46.692	0.6045	0.6973	0.4038	1.4038	-2.9297	0.3052	59.4580	-37.0239	1.0547	21.76	3.59
0x50	 09:56:46.693	0.6045	0.6973	0.4038	1.4038	-2.9297	0.3052	59.4910	-37.0404	1.0272	21.76	3.59
0x50	 09:56:46.693	0.6040	0.6870	0.3994	0.2441	-2.3193	1.8311	59.5020	-37.0679	1.0162	21.75	3.59
0x50	 09:56:46.693	0.6040	0.6870	0.3994	0.2441	-2.3193	1.8311	59.5129	-37.0953	0.9998	21.75	3.59
0x50	 09:56:46.693	0.6060	0.6802	0.3965	0.4883	-1.0986	2.4414	59.5129	-37.1228	1.0052	21.72	3.59
0x50	 09:56:46.693	0.6060	0.6802	0.3965	0.4883	-1.0986	2.4414	59.5184	-37.1448	1.0107	21.72	3.59
0x50	 09:56:46.693	0.6084	0.6733	0.3979	0.7324	0.6714	1.5259	59.5129	-37.1558	1.0272	21.75	3.59
0x50	 09:56:46.694	0.6084	0.6733	0.3979	0.7324	0.6714	1.5259	59.5129	-37.1667	1.0437	21.75	3.59
0x50	 09:56:46.694	0.6084	0.6729	0.4038	-0.1221	2.4414	0.0000	59.4910	-37.1558	1.0712	21.76	3.59
0x50	 09:56:46.817	0.6084	0.6729	0.4038	-0.1221	2.4414	0.0000	59.4745	-37.1448	1.0986	21.76	3.59
0x50	 09:56:46.818	0.6113	0.6724	0.4106	-0.6714	3.5400	-0.2441	59.4470	-37.1228	1.1316	21.75	3.59
0x50	 09:56:46.818	0.6113	0.6724	0.4106	-0.6714	3.5400	-0.2441	59.4141	-37.1063	1.1700	21.75	3.60
0x50	 09:56:46.818	0.6099	0.6685	0.4204	-1.8921	3.4790	0.0610	59.3756	-37.0898	1.2085	21.75	3.60
