StartTime: 2023-01-01 10:21:11.069 s yoguruto 1/1
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 10:21:11.069	-0.0444	-0.0342	1.0044	0.3662	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.03	3.58
0x50	 10:21:11.071	-0.0444	-0.0342	1.0044	0.3662	0.0000	0.0000	-2.0215	2.4060	-0.0110	25.03	3.58
0x50	 10:21:11.071	-0.0439	-0.0313	1.0020	0.0000	0.0000	0.0000	-2.0215	2.4060	-0.0110	25.08	3.58
0x50	 10:21:11.071	-0.0439	-0.0313	1.0020	0.0000	0.0000	0.0000	-2.0215	2.4060	-0.0110	25.08	3.58
0x50	 10:21:11.071	-0.0391	-0.0371	1.0010	-0.5493	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.06	3.58
0x50	 10:21:11.071	-0.0391	-0.0371	1.0010	-0.5493	0.0000	0.0000	-2.0325	2.4060	-0.0110	25.06	3.58
0x50	 10:21:11.071	-0.0405	-0.0391	1.0010	0.1221	0.0000	0.0000	-2.0325	2.4060	-0.0110	25.07	3.58
0x50	 10:21:11.071	-0.0405	-0.0391	1.0010	0.1221	0.0000	0.0000	-2.0325	2.4060	-0.0110	25.07	3.58
0x50	 10:21:11.071	-0.0459	-0.0337	1.0034	0.3052	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.07	3.58
0x50	 10:21:11.178	-0.0459	-0.0337	1.0034	0.3052	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.07	3.58
0x50	 10:21:11.178	-0.0430	-0.0332	1.0029	-0.0610	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.07	3.58
0x50	 10:21:11.178	-0.0430	-0.0332	1.0029	-0.0610	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.07	3.58
0x50	 10:21:11.179	-0.0396	-0.0352	1.0010	-0.1221	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.05	3.58
0x50	 10:21:11.179	-0.0396	-0.0352	1.0010	-0.1221	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.05	3.58
0x50	 10:21:11.179	-0.0425	-0.0356	1.0015	0.0000	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.07	3.58
0x50	 10:21:11.179	-0.0425	-0.0356	1.0015	0.0000	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.07	3.58
0x50	 10:21:11.179	-0.0430	-0.0356	1.0024	0.0000	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.07	3.58
0x50	 10:21:11.179	-0.0430	-0.0356	1.0024	0.0000	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.07	3.58
0x50	 10:21:11.262	-0.0400	-0.0356	1.0015	0.0000	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.07	3.58
0x50	 10:21:11.262	-0.0400	-0.0356	1.0015	0.0000	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.07	3.58
0x50	 10:21:11.262	-0.0410	-0.0352	1.0005	0.1221	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.06	3.58
0x50	 10:21:11.262	-0.0410	-0.0352	1.0005	0.1221	0.0000	0.0000	-2.0270	2.4115	-0.0110	25.06	3.58
0x50	 10:21:11.262	-0.0435	-0.0342	1.0024	0.0000	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.06	3.59
0x50	 10:21:11.262	-0.0435	-0.0342	1.0024	0.0000	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.06	3.59
0x50	 10:21:11.262	-0.0430	-0.0352	1.0020	-0.1831	0.0000	0.0000	-2.0270	2.4060	-0.0110	25.07	3.59
