StartTime: 2023-01-02 18:51:09.121 m yogurut 1/2
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)
0x50	 18:51:09.121	-0.4038	0.7734	0.3257	-5.4321	-3.7231	-9.5825	64.9402	23.4778	-65.3961	21.09	4.03
0x50	 18:51:09.121	-0.4038	0.7734	0.3257	-5.4321	-3.7231	-9.5825	64.8688	23.5492	-65.4071	21.09	4.03
0x50	 18:51:09.121	-0.4082	0.7607	0.3540	-7.6294	-4.2114	-7.9346	64.7754	23.6096	-65.4181	21.07	4.03
0x50	 18:51:09.122	-0.4082	0.7607	0.3540	-7.6294	-4.2114	-7.9346	64.6820	23.6646	-65.4236	21.07	4.03
0x50	 18:51:09.122	-0.4038	0.7578	0.3589	0.0000	-3.1128	-4.9438	64.6710	23.6975	-65.4126	21.08	4.03
0x50	 18:51:09.122	-0.4038	0.7578	0.3589	0.0000	-3.1128	-4.9438	64.6600	23.7360	-65.3961	21.08	4.03
0x50	 18:51:09.122	-0.3965	0.7876	0.3433	5.4932	-1.2817	-0.9766	64.7205	23.7415	-65.3467	21.04	4.03
0x50	 18:51:09.122	-0.3965	0.7876	0.3433	5.4932	-1.2817	-0.9766	64.7754	23.7524	-65.2917	21.04	4.03
0x50	 18:51:09.122	-0.3989	0.8335	0.3315	5.1270	-1.4648	-0.9766	64.8303	23.7579	-65.2423	21.07	4.03
0x50	 18:51:09.230	-0.3989	0.8335	0.3315	5.1270	-1.4648	-0.9766	64.8853	23.7689	-65.1984	21.07	4.03
0x50	 18:51:09.230	-0.4028	0.8496	0.3325	-3.7231	-2.7466	-8.0566	64.8358	23.8293	-65.1929	21.08	4.03
0x50	 18:51:09.230	-0.4028	0.8496	0.3325	-3.7231	-2.7466	-8.0566	64.7864	23.8953	-65.1929	21.08	4.03
0x50	 18:51:09.230	-0.4014	0.8291	0.3467	-16.3574	-3.9063	-15.3198	64.5941	24.0216	-65.2368	21.09	4.03
0x50	 18:51:09.230	-0.4014	0.8291	0.3467	-16.3574	-3.9063	-15.3198	64.4019	24.1425	-65.2808	21.09	4.03
0x50	 18:51:09.230	-0.4014	0.7964	0.3628	-25.7568	-2.1973	-16.0522	64.1217	24.2798	-65.3137	21.08	4.03
0x50	 18:51:09.230	-0.4014	0.7964	0.3628	-25.7568	-2.1973	-16.0522	63.8416	24.4171	-65.3467	21.08	4.03
0x50	 18:51:09.230	-0.4077	0.7690	0.3711	-29.7241	0.9155	-13.1226	63.5394	24.5380	-65.3357	21.08	4.03
0x50	 18:51:09.230	-0.4077	0.7690	0.3711	-29.7241	0.9155	-13.1226	63.2373	24.6588	-65.3302	21.08	4.03
0x50	 18:51:09.295	-0.4170	0.7520	0.3672	-32.7148	2.9297	-9.8877	62.9187	24.7632	-65.2863	21.11	4.03
0x50	 18:51:09.295	-0.4170	0.7520	0.3672	-32.7148	2.9297	-9.8877	62.6056	24.8676	-65.2423	21.11	4.03
